,passenger_count,year,Month,Date,Day,Hour,distance,Predicted_fare
0,1,2015,1,27,1,13,1.2009460731276016,2.32183127822884
1,1,2015,1,27,1,13,1.2312045033547776,2.3605571176277556
2,1,2011,10,8,5,11,0.4815787971138094,1.7295761999100978
3,1,2012,12,1,5,21,1.0855380304427467,2.159344441390863
4,1,2012,12,1,5,21,1.854311840183833,2.7313728251256566
5,1,2012,12,1,5,21,1.4404389451912563,2.4054140305213405
6,1,2011,10,6,3,12,0.6573134060758052,1.8262015993976217
7,1,2011,10,6,3,12,3.1152960189817573,3.933129077449912
8,1,2011,10,6,3,12,1.5839070962176371,2.457574822480364
9,1,2014,2,18,1,15,0.7418392017587127,1.9886945276171835
10,1,2014,2,18,1,15,1.1992672994591556,2.3209620687051435
11,1,2014,2,18,1,15,1.7611591349976947,2.824568775219511
12,1,2010,3,29,0,20,0.5438752416139686,1.7681761604505022
13,1,2010,3,29,0,20,0.9841374508754249,2.0348125637492154
14,1,2011,10,6,3,3,1.2539144032316845,2.252596528854518
15,1,2011,10,6,3,3,1.81080611912601,2.638482239133403
16,1,2012,7,15,6,16,0.2614700494888405,1.7351621398068757
17,1,2012,7,15,6,16,1.2616228782006682,2.2957246939483986
18,1,2012,7,15,6,16,0.5768630337174273,1.7996953740998984
19,1,2012,7,15,6,16,0.3557719106688746,1.7351621398068757
20,1,2014,10,29,2,2,0.9752935228821746,2.1472776963090774
21,1,2014,6,14,5,13,1.0882961086095948,2.2918188323862454
22,1,2014,6,14,5,13,0.8352720917435071,2.0389011531273185
23,1,2014,6,14,5,13,1.065157017864982,2.276730213704682
24,1,2014,6,14,5,13,1.9139358530227044,2.9316704953975097
25,1,2014,6,14,5,13,0.7522113353654581,1.9886945276171835
26,1,2014,6,14,5,13,2.7282801639161867,3.5431200619280925
27,1,2014,6,14,5,13,2.344482038795548,3.419338200239641
28,1,2014,6,14,5,13,0.7629197804983204,1.9886945276171835
29,1,2014,6,14,5,13,1.739829257238897,2.7852900939294476
30,1,2014,6,14,5,13,1.361072942462407,2.4638033342844397
31,1,2014,6,14,5,13,0.7802790349092857,2.0037319447818533
32,1,2014,6,14,5,13,0.7278560907368083,1.9725291026367833
33,1,2014,6,14,5,13,1.3542949066755756,2.4614720112579267
34,1,2014,6,14,5,13,1.116089961412136,2.3022145215787155
35,1,2014,6,14,5,13,0.9413891801531173,2.1399440405217267
36,1,2014,6,14,5,13,0.7630161335541281,1.9886945276171835
37,1,2014,6,14,5,13,0.6896387574482935,1.8521237750240653
38,1,2014,6,14,5,13,0.9432139169375285,2.1399440405217267
39,1,2014,6,14,5,13,0.540297811542358,1.7803496415534106
40,1,2014,6,14,5,13,2.087321770001446,3.0692239284533125
41,1,2014,6,14,5,13,1.2749804291357318,2.408053198016065
42,1,2014,6,14,5,13,1.9818456066455092,2.9622124640881755
43,1,2014,6,14,5,13,1.214338244745204,2.3578069722328237
44,1,2014,6,14,5,13,0.46256971471889463,1.7419870529730401
45,1,2014,6,14,5,13,1.4063104791629402,2.500235379340235
46,1,2014,6,14,5,13,0.6323837359645115,1.8336792804436872
47,1,2014,6,14,5,13,0.7983986682515091,2.0037319447818533
48,1,2014,6,14,5,13,0.7167473230894231,1.9689419296361235
49,1,2014,6,14,5,13,0.5282370181998173,1.7775229059686988
50,1,2014,6,14,5,13,1.3903361472060616,2.4909229864857534
51,1,2014,6,14,5,13,1.480507586238828,2.578619191724166
52,1,2014,6,14,5,13,1.965977667718984,2.9603066637569673
53,1,2014,6,14,5,13,0.7448693656917768,1.9886945276171835
54,1,2014,6,14,5,13,0.8490447462901549,2.0908372911025994
55,1,2014,6,14,5,13,1.761784424181812,2.8258842269315165
56,1,2014,6,14,5,13,1.5324395470959529,2.6328623021984825
57,1,2014,6,14,5,13,1.2339148709069174,2.3596879081040587
58,1,2014,6,14,5,13,1.5689414311199223,2.6530148822568815
59,1,2014,6,14,5,13,1.5835149292823274,2.6592824016561933
60,1,2014,6,14,5,13,0.8605063568376435,2.0908372911025994
61,1,2014,6,14,5,13,1.2842176235121425,2.4092046257551827
62,1,2014,6,14,5,13,0.5707369145227962,1.7981080035442736
63,1,2014,6,14,5,13,0.6061546859029546,1.8172216164480393
64,1,2014,6,14,5,13,0.9297182945106115,2.1399440405217267
65,1,2014,6,14,5,13,0.8552252525218648,2.0908372911025994
66,1,2014,6,14,5,13,1.3034353231931033,2.4278254989410875
67,1,2014,6,14,5,13,0.6952424728114261,1.876290986712712
68,1,2014,6,14,5,13,0.44266717607700223,1.7419870529730401
69,1,2014,6,14,5,13,1.8749213942423046,2.8930128255404197
70,1,2014,6,14,5,13,0.8028923839401652,2.012872433831907
71,1,2014,6,14,5,13,0.4913853859300868,1.7419870529730401
72,1,2014,6,14,5,13,1.3623622894813827,2.4638033342844397
73,1,2014,6,14,5,13,0.8630792604766345,2.0908372911025994
74,1,2014,6,14,5,13,1.2455829126981477,2.365675292699457
75,1,2014,6,14,5,13,1.3672005526346276,2.464888487936065
76,1,2014,6,14,5,13,2.836307999606017,3.7625127490651007
77,1,2014,6,14,5,13,0.2740669270495515,1.7419870529730401
78,1,2014,6,14,5,13,0.3735541937393683,1.7419870529730401
79,1,2014,6,14,5,13,0.5782683279098955,1.812554367328136
80,1,2014,6,14,5,13,0.7434259586070225,1.9886945276171835
81,1,2014,6,14,5,13,0.7309484446125155,1.976538112264568
82,1,2014,6,14,5,13,0.9275962278952549,2.1392398881789116
83,1,2014,6,14,5,13,1.244161679427783,2.365675292699457
84,1,2014,6,14,5,13,1.946500770763476,2.958500423930855
85,1,2014,6,14,5,13,0.8167821418960147,2.033218657219931
86,1,2014,6,14,5,13,0.37744621675591666,1.7419870529730401
87,1,2014,6,14,5,13,0.8754802168599054,2.0908372911025994
88,1,2014,6,14,5,13,1.816338352423936,2.8462953003571014
89,1,2014,6,14,5,13,1.2618841242512762,2.377734340819246
90,1,2014,6,14,5,13,1.293883193746925,2.4198012553315866
91,1,2014,6,14,5,13,1.1013919085912447,2.3001324388682893
92,1,2014,6,14,5,13,0.8023322944859361,2.0101197486778943
93,1,2014,6,14,5,13,0.7933098167351913,2.0037319447818533
94,1,2014,6,14,5,13,1.642288936632137,2.713636602935791
95,1,2014,6,14,5,13,1.6712378613170307,2.724564089812677
96,1,2014,6,14,5,13,1.3807952935036776,2.4847733983150144
97,1,2014,6,14,5,13,1.5962574111074135,2.6611900286032153
98,1,2014,6,14,5,13,0.872777099143637,2.0908372911025994
99,1,2014,6,14,5,13,1.292625809446731,2.412194331362388
100,1,2014,6,14,5,13,1.335395902778835,2.4535498625647
101,1,2014,6,14,5,13,0.8043163654383557,2.015865775607862
102,1,2014,6,14,5,13,3.0819765369642456,3.9456289752119864
103,1,2014,6,14,5,13,0.8110690978495212,2.029589991713671
104,1,2014,6,14,5,13,0.024819281875405615,2.035004633062371
105,1,2014,6,14,5,13,0.4566495319939675,1.7419870529730401
106,1,2014,6,14,5,13,1.4039892969167473,2.500235379340235
107,1,2014,6,14,5,13,1.2432850963070508,2.365675292699457
